Time,PosX,PosY,PosZ
0.0,-1764.5942305039882,1198.8394514159352,1963.489761336894
0.051,-1754.3631964747087,1212.8456496090364,1963.6805403071369
0.222,-1709.0,1273.0,1964.0
0.4,-1647.0,1353.0,1964.0
0.411,-1643.2285838970001,1357.8225122350534,1964.0208843747007
0.611,-1572.0844071045258,1447.8671193395933,1964.9455972747387
0.62,-1568.0,1453.0,1965.0
0.811,-1457.938957770099,1590.8586297999682,1966.296169697193
0.94,-1395.0,1670.0,1967.0
0.971,-1384.5627192830143,1683.246546416726,1967.1191362147301
1.281,-1320.0,1771.0,1968.0
1.331,-1295.8766066477228,1804.2370700999502,1968.3466699041328
1.52,-1184.0,1958.0,1970.0
1.881,-1091.0,2086.0,1972.0
2.011,-1033.2711608587488,2164.6563414154093,1973.1123055083958
2.181,-940.0,2292.0,1975.0
2.291,-881.8605231178982,2372.023149018654,1976.4304264298817
2.501,-785.0,2506.0,1979.0
2.531,-774.0981941934356,2521.037670596417,1979.2512434481284
2.851,-690.7464323594734,2636.103728076599,1980.579336164326
2.921,-669.0,2667.0,1981.0
3.011,-636.3920339929518,2713.8069326312893,1981.7208285355916
3.221,-546.0,2845.0,1984.0
3.251,-532.5543338858299,2864.605585821406,1984.3590809284397
3.461,-439.0,3002.0,1987.0
3.571,-395.2189333233384,3067.6226999584237,1988.3611293965594
3.801,-308.0,3200.0,1991.0
3.891,-270.2334490079555,3256.6780453343777,1991.9014471766561
3.901,-266.0,3263.0,1992.0
4.051,-202.65523907347776,3356.762526302965,1993.4710402173991
4.241,-122.0,3473.0,1995.0
4.291,-100.50679357008742,3503.1973083620983,1995.2691617850382
4.421,-45.0,3580.0,1996.0
4.531,-0.2330348767970314,3641.1922443414537,1997.2287894562915
4.661,51.0,3710.0,1999.0
4.692,63.15404255020486,3726.06149661277,1999.3882677890026
4.842,121.0,3801.0,2001.0
4.892,139.48013331494224,3824.315854220873,2001.3841057813333
4.961,167.0,3858.0,2002.0
5.321,356.0,4071.0,2009.0
5.332,358.818583914594,4074.041514150475,2009.0887975697083
5.561,381.0,4095.0,2009.0
5.772,446.28424721092125,4159.010671554619,2009.8454084583284
5.801,457.0,4169.0,2010.0
5.932,506.24380730396393,4212.347770264124,2010.6840772398277
6.041,548.0,4246.0,2011.0
6.172,598.9617985084508,4283.397974029415,2010.9110856775446
6.222,619.0,4297.0,2011.0
6.372,681.246242797667,4335.796176637634,2011.9464359659482
6.381,685.0,4338.0,2012.0
6.611,781.074882929309,4389.075064289258,2012.8568608276307
6.641,794.0,4395.0,2013.0
6.822,873.0,4427.0,2014.0
6.931,916.9756039057852,4442.808464471907,2014.0237190941227
7.021,962.0,4456.0,2014.0
7.171,1072.9579394198868,4481.752248639573,2014.5133746056426
7.281,1146.0,4497.0,2015.0
7.371,1182.4252164038705,4503.931835828907,2015.3059129390945
7.601,1231.0,4508.0,2016.0
7.811,1329.5229411700254,4514.153415172481,2017.145699690745
7.961,1407.0,4518.0,2018.0
8.091,1466.4336964168401,4519.35965241679,2018.649782340625
8.141,1497.0,4519.0,2019.0
8.331,1656.036872842715,4513.311568930361,2020.912426153258
8.341,1663.0,4513.0,2021.0
8.611,1757.6013028706761,4506.1493670219925,2022.4156712201066
8.701,1790.0,4502.0,2023.0
8.851,1870.5352523534962,4491.498313281118,2024.4006397427295
8.921,1911.0,4486.0,2025.0
9.101,2010.0,4472.0,2026.0
9.171,2049.2168049203246,4466.85906558028,2026.2451601868179
9.331,2141.6759480719243,4456.037237644458,2026.6306607576132
