Time,PosX,PosY,PosZ
0.0,-1754.946763636201,1212.9088908501026,1962.9248241706234
0.255,-1665.4806252798994,1329.7100165602933,1963.5520385659418
0.329,-1629.0,1376.0,1964.0
0.455,-1556.0534526461752,1467.5801755739412,1965.0368357048194
0.57,-1491.0,1549.0,1966.0
0.696,-1434.9165976537927,1619.5314241176238,1966.7873462866012
0.949,-1343.0,1739.0,1968.0
1.11,-1271.0,1837.0,1969.0
1.136,-1259.1875369344139,1853.2062858730262,1969.1619265169522
1.336,-1168.8166283649339,1977.8116386632237,1970.4837138464984
1.39,-1144.0,2012.0,1971.0
1.569,-1061.0,2126.0,1973.0
1.576,-1057.8500016037535,2130.3186315293087,1973.0522971473738
1.769,-969.0,2252.0,1974.0
1.896,-893.4679546271489,2355.5281201765165,1975.8087956251657
1.97,-848.0,2418.0,1977.0
2.096,-775.0872530853118,2518.577223387783,1978.752607204644
2.296,-672.7149377503318,2660.9968310871404,1980.9805135168592
2.389,-633.0,2717.0,1982.0
2.736,-517.383292821667,2885.292477204868,1985.6296288350377
2.79,-496.0,2917.0,1986.0
2.969,-414.0,3039.0,1987.0
3.25,-287.0,3230.0,1991.0
3.31,-260.0,3271.0,1992.0
3.67,-62.0,3557.0,1996.0
3.775,-18.825778557298516,3616.7411883897457,1997.0325615417241
3.935,40.47551608719603,3695.5042238451506,1998.8056013483208
3.95,47.0,3704.0,1999.0
4.175,162.99444754718925,3851.652187900932,2002.4295040680583
4.21,182.0,3875.0,2003.0
4.375,271.30277414154847,3980.728469005703,2005.729785090058
4.45,313.0,4027.0,2007.0
4.615,408.9728879713033,4125.374205603222,2009.7754105032934
4.63,418.0,4134.0,2010.0
4.71,467.0,4179.0,2011.0
4.91,596.0,4283.0,2011.0
4.935,612.9470148397744,4294.779727096883,2011.097116328574
5.129,751.0,4376.0,2013.0
5.335,909.5643210432896,4442.670158034054,2014.5807155456837
5.49,1033.0,4478.0,2015.0
5.495,1036.9962200944087,4478.90987246712,2015.0001935477321
5.57,1099.0,4491.0,2015.0
5.735,1281.1276926765127,4510.03566683152,2016.5745122600324
5.91,1467.0,4520.0,2019.0
6.015,1532.6220211510408,4521.30239491768,2019.858526410928
6.19,1616.0,4517.0,2021.0
6.335,1730.236736269988,4508.503230288093,2022.5891117650956
6.37,1765.0,4505.0,2023.0
6.575,2015.370223720979,4472.401410432919,2025.3222038490892
6.649,2092.0,4462.0,2026.0
6.895,2228.974853475546,4446.17907494468,2027.4225054179783
7.009,2287.0,4443.0,2028.0
7.175,2405.36829696902,4439.04637175949,2028.9998919669292
7.37,2582.0,4442.0,2031.0
7.376,2587.8084774022373,4442.350471746575,2031.0871942740637
7.549,2758.0,4459.0,2034.0
7.576,2782.552973786547,4462.683069047651,2034.4283767894394
7.856,2999.3734180600986,4517.981387586095,2038.0725290787373
7.93,3055.0,4538.0,2039.0
8.089,3175.0,4587.0,2041.0
8.216,3256.592231601374,4624.932722734911,2042.2840058582563
8.349,3360.0,4688.0,2044.0
8.416,3432.970553526744,4739.286795445341,2045.304559427636
8.549,3583.0,4851.0,2048.0
8.576,3605.317275847417,4868.146955449308,2048.3742336860464
8.816,3688.721888581889,4942.39546330137,2049.1511504271016
8.929,3727.0,4982.0,2049.0
9.09,3820.0,5074.0,2049.0
9.296,3984.231409782389,5239.48327009453,2050.566891246274
9.35,4026.0,5281.0,2051.0
