sample_id,SessionTime,Time,Date,Driver,LapNumber,X,Y,Z,x_aligned,x_aligned,y_aligned,y_aligned,proj_x,proj_y,s_m,s_unwrapped_m,progress,d_m,d_raw,d_smooth,d_final,w_left,w_right,track_width,left_margin,right_margin,x_ref,y_ref,ref_heading,curvature,turn_sign,tangent_x,tangent_y,normal_x,normal_y,ds_dt,dd_dt,d2d_dt2,Speed,RPM,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,DriverAhead,DistanceToDriverAhead,Status,Source
0,0 days 00:56:09.187000,0 days 00:00:00.200000,2025-07-06 14:03:49.800,BOR,1.0,346.0,3723.9999999999995,1986.0000000000002,212.79906398233982,212.79906398233982,257.81521051879054,257.81521051879054,197.72952478903494,268.5289376720044,331.84786771962894,331.84786771962894,0.05637147541751355,-18.489861032794817,-18.489861032794817,-18.489861032794817,-6.718,6.679,6.718,13.397,13.397,0.0,203.20288182509432,264.63357032657734,0.9522636272462264,0.00019748920704090964,1.0,0.5798403312633298,0.8147301333818651,-0.8147301333818651,0.5798403312633298,5.684341886073047e-13,0.0,0.0,0.0,4060.28500352,0,0.0,False,1,-3.6182490917042642e-40,-1.763317285337768e-44,,0.06666666666666668,OnTrack,interpolation
1,0 days 00:56:09.387000,0 days 00:00:00.400000,2025-07-06 14:03:50.000,BOR,1.0,346.00000000000006,3724.000000000001,1986.0000000000002,212.79906398233982,212.79906398233982,257.81521051879065,257.81521051879065,197.729524789035,268.5289376720045,331.84786771962905,331.84786771962905,0.05637147541751357,-18.489861032794735,-18.489861032794735,-18.489861032794817,-6.718,6.679,6.718,13.397,13.397,0.0,203.20288182509438,264.6335703265774,0.9522636272462264,0.00019748920704090964,1.0,0.5798403312633298,0.8147301333818651,-0.8147301333818651,0.5798403312633298,2.8421709430397545e-13,0.0,0.0,0.0,3991.6541429333333,0,0.0,False,1,5.278805120451918e-39,2.572572556202326e-43,,0.06666666666666668,OnTrack,interpolation
2,0 days 00:56:09.587000,0 days 00:00:00.600000,2025-07-06 14:03:50.200,BOR,1.0,346.0000000000001,3724.000000000001,1986.0,212.79906398233982,212.79906398233982,257.81521051879065,257.81521051879065,197.729524789035,268.5289376720045,331.84786771962905,331.84786771962905,0.05637147541751357,-18.489861032794735,-18.489861032794735,-18.489861032794817,-6.718,6.679,6.718,13.397,13.397,0.0,203.20288182509438,264.6335703265774,0.9522636272462264,0.00019748920704090964,1.0,0.5798403312633298,0.8147301333818651,-0.8147301333818651,0.5798403312633298,-2.8421709430429857e-13,0.0,0.0,0.0,3951.7874912,0,0.0,False,1,-2.8962032289360907e-38,-1.4114354998783697e-42,,0.06666666666666668,OnTrack,interpolation
3,0 days 00:56:09.787000,0 days 00:00:00.800000,2025-07-06 14:03:50.400,BOR,1.0,345.9999999999999,3723.999999999999,1985.9999999999995,212.79906398233976,212.79906398233976,257.81521051879054,257.81521051879054,197.7295247890349,268.52893767200436,331.84786771962894,331.84786771962894,0.05637147541751355,-18.489861032794764,-18.489861032794764,-18.489861032794817,-6.718,6.679,6.718,13.397,13.397,0.0,203.2028818250943,264.6335703265773,0.9522636272462264,0.00019748920704090964,1.0,0.5798403312633298,0.8147301333818651,-0.8147301333818651,0.5798403312633298,-2.8421709430397545e-13,0.0,0.0,0.0,3946.49000448,0,0.0,False,1,1.494946910722132e-37,7.285473336765202e-42,22,0.36388906666666654,OnTrack,interpolation
4,0 days 00:56:09.987000,0 days 00:00:01,2025-07-06 14:03:50.600,BOR,1.0,345.99999999999994,3723.9999999999995,1985.9999999999998,212.79906398233982,212.79906398233982,257.81521051879054,257.81521051879054,197.72952478903494,268.5289376720044,331.84786771962894,331.84786771962894,0.05637147541751355,-18.489861032794817,-18.489861032794817,-18.489861032794817,-6.718,6.679,6.718,13.397,13.397,0.0,203.20288182509432,264.63357032657734,0.9522636272462264,0.00019748920704090964,1.0,0.5798403312633298,0.8147301333818651,-0.8147301333818651,0.5798403312633298,-4.263256414559632e-13,0.0,0.0,0.0,3938.2874911999997,0,0.0,False,1,-1.0757326412633054e-36,-5.242474779004734e-41,22,1.127500302222222,OnTrack,interpolation
5,0 days 00:56:10.187000,0 days 00:00:01.200000,2025-07-06 14:03:50.800,BOR,1.0,345.99999999999994,3723.9999999999973,1985.9999999999995,212.79906398233982,212.79906398233982,257.8152105187903,257.8152105187903,197.72952478903483,268.52893767200425,331.84786771962877,331.84786771962877,0.05637147541751352,-18.48986103279494,-18.48986103279494,-18.489861032794806,-6.718,6.679,6.718,13.397,13.397,0.0,203.2028818250942,264.63357032657717,0.9522636272462264,0.00019748920704090964,1.0,0.5798403312633298,0.8147301333818651,-0.8147301333818651,0.5798403312633298,-1.4210854715198773e-13,0.0,0.0,0.0,3942.7321645714287,0,0.0,False,1,2.6683922647296984e-36,1.3004141188751659e-40,22,2.162341658412698,OnTrack,interpolation
6,0 days 00:56:10.387000,0 days 00:00:01.400000,2025-07-06 14:03:51.000,BOR,1.0,346.0,3723.9999999999986,1985.9999999999995,212.79906398233982,212.79906398233982,257.8152105187904,257.8152105187904,197.72952478903488,268.52893767200436,331.8478677196289,331.8478677196289,0.056371475417513535,-18.4898610327949,-18.4898610327949,-18.489861032794792,-6.718,6.679,6.718,13.397,13.397,0.0,203.20288182509427,264.6335703265773,0.9522636272462264,0.00019748920704090964,1.0,0.5798403312633298,0.8147301333818651,-0.8147301333818651,0.5798403312633298,2.8421709430397545e-13,0.0,0.0,0.0,4010.5893074285714,0,0.0,False,1,2.1499176900357962e-36,1.0477407521735707e-40,22,3.3766273726984126,OnTrack,interpolation
7,0 days 00:56:10.587000,0 days 00:00:01.600000,2025-07-06 14:03:51.200,BOR,1.0,346.0000000000006,3723.999999999998,1986.0000000000023,212.79906398233987,212.79906398233987,257.8152105187904,257.8152105187904,197.7295247890349,268.52893767200436,331.8478677196289,331.8478677196289,0.056371475417513535,-18.48986103279492,-18.48986103279492,-18.489861032794803,-6.718,6.679,6.718,13.397,13.397,0.0,203.2028818250943,264.6335703265773,0.9522636272462264,0.00019748920704090964,1.0,0.5798403312633298,0.8147301333818651,-0.8147301333818651,0.5798403312633298,2.8421709430429857e-13,0.0,0.0,0.0,3957.8610915555555,0,0.0,False,1,-5.845567307526357e-35,-2.8487784048918286e-39,30,4.961944959999999,OnTrack,interpolation
8,0 days 00:56:10.787000,0 days 00:00:01.800000,2025-07-06 14:03:51.400,BOR,1.0,345.9999999999996,3724.0,1985.9999999999986,212.79906398233976,212.79906398233976,257.81521051879065,257.81521051879065,197.72952478903497,268.5289376720045,331.847867719629,331.847867719629,0.056371475417513556,-18.489861032794714,-18.489861032794714,-18.489861032794792,-6.718,6.679,6.718,13.397,13.397,0.0,203.20288182509435,264.6335703265774,0.9522636272462264,0.00019748920704090964,1.0,0.5798403312633298,0.8147301333818651,-0.8147301333818651,0.5798403312633298,4.263256414559632e-13,0.0,0.0,0.0,3925.5875488,0,0.0,False,1,3.5448713928956196e-35,1.7275574022041697e-39,30,6.610556159999999,OnTrack,interpolation
9,0 days 00:56:10.987000,0 days 00:00:02,2025-07-06 14:03:51.600,BOR,1.0,346.0000000000001,3724.000000000001,1986.0000000000002,212.79906398233982,212.79906398233982,257.81521051879065,257.81521051879065,197.729524789035,268.5289376720045,331.84786771962905,331.84786771962905,0.05637147541751357,-18.489861032794735,-18.489861032794735,-18.48986103279478,-6.718,6.679,6.718,13.397,13.397,0.0,203.20288182509438,264.6335703265774,0.9522636272462264,0.00019748920704090964,1.0,0.5798403312633298,0.8147301333818651,-0.8147301333818651,0.5798403312633298,5.684341886079509e-13,0.0,0.0,0.0,4003.1312272,0,0.0,False,1,-5.045390242625654e-34,-2.458820164287211e-38,30,8.629722951111113,OnTrack,interpolation
