sample_id,SessionTime,Time,Date,Driver,LapNumber,X,Y,Z,x_aligned,x_aligned,y_aligned,y_aligned,proj_x,proj_y,s_m,s_unwrapped_m,progress,d_m,d_raw,d_smooth,d_final,w_left,w_right,track_width,left_margin,right_margin,x_ref,y_ref,ref_heading,curvature,turn_sign,tangent_x,tangent_y,normal_x,normal_y,ds_dt,dd_dt,d2d_dt2,Speed,RPM,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,DriverAhead,DistanceToDriverAhead,Status,Source
0,0 days 00:56:09.187000,0 days 00:00:00.200000,2025-07-06 14:03:49.800,COL,1.0,-356.99999999999994,2679.0,1986.0000000000002,143.00540058978913,143.00540058978913,153.75703884199856,153.75703884199856,124.59969444567979,167.067557505714,206.77801451964572,206.77801451964572,0.0351256792531953,-22.714311034244943,-22.714311034244943,-22.714311034244947,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.1754170047563,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,1.4210854715182617e-13,0.0,0.0,0.0,5020.90999552,0,0.0,False,1,0.0,,,0.06666666666666668,OnTrack,interpolation
1,0 days 00:56:09.387000,0 days 00:00:00.400000,2025-07-06 14:03:50.000,COL,1.0,-357.00000000000006,2679.0000000000005,1986.0000000000002,143.00540058978913,143.00540058978913,153.75703884199862,153.75703884199862,124.5996944456798,167.06755750571403,206.77801451964575,206.77801451964575,0.035125679253195305,-22.714311034244915,-22.714311034244915,-22.714311034244947,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.17541700475633,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,0.0,0.0,0.0,0.0,5000.520826666667,0,0.0,False,1,0.0,,,0.06666666666666668,OnTrack,interpolation
2,0 days 00:56:09.587000,0 days 00:00:00.600000,2025-07-06 14:03:50.200,COL,1.0,-357.0000000000001,2679.0,1986.0,143.00540058978913,143.00540058978913,153.75703884199856,153.75703884199856,124.59969444567979,167.067557505714,206.77801451964572,206.77801451964572,0.0351256792531953,-22.714311034244943,-22.714311034244943,-22.714311034244947,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.1754170047563,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,-2.1316282072822393e-13,0.0,0.0,0.0,4862.6999424000005,0,0.0,False,1,0.0,,,0.06666666666666668,OnTrack,interpolation
3,0 days 00:56:09.787000,0 days 00:00:00.800000,2025-07-06 14:03:50.400,COL,1.0,-356.9999999999999,2678.999999999999,1985.9999999999995,143.0054005897892,143.0054005897892,153.7570388419985,153.7570388419985,124.59969444567977,167.06755750571398,206.7780145196457,206.77801451964567,0.03512567925319529,-22.714311034245018,-22.714311034245018,-22.714311034244947,-6.642,6.581,6.642,13.223,13.223,0.0,129.9818321548809,163.17541700475627,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,0.0,0.0,0.0,0.0,4440.344797440001,0,0.0,False,1,0.0,,22,0.36388906666666654,OnTrack,interpolation
4,0 days 00:56:09.987000,0 days 00:00:01,2025-07-06 14:03:50.600,COL,1.0,-357.0,2679.0,1985.9999999999998,143.00540058978913,143.00540058978913,153.75703884199856,153.75703884199856,124.59969444567979,167.067557505714,206.77801451964572,206.77801451964572,0.0351256792531953,-22.714311034244943,-22.714311034244943,-22.714311034244947,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.1754170047563,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,-2.131628207279816e-13,0.0,0.0,0.0,4160.712508799999,0,0.0,False,1,0.0,,22,1.127500302222222,OnTrack,interpolation
5,0 days 00:56:10.187000,0 days 00:00:01.200000,2025-07-06 14:03:50.800,COL,1.0,-357.0,2678.9999999999986,1985.9999999999995,143.00540058978913,143.00540058978913,153.75703884199845,153.75703884199845,124.59969444567973,167.06755750571392,206.7780145196456,206.77801451964558,0.03512567925319528,-22.714311034245007,-22.714311034245007,-22.714311034244943,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488086,163.1754170047562,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,7.105427357599386e-14,0.0,0.0,0.0,4046.9141595428573,0,0.0,False,1,0.0,,22,2.162341658412698,OnTrack,interpolation
6,0 days 00:56:10.387000,0 days 00:00:01.400000,2025-07-06 14:03:51.000,COL,1.0,-356.9999999999999,2678.9999999999995,1985.9999999999995,143.0054005897892,143.0054005897892,153.75703884199856,153.75703884199856,124.5996944456798,167.06755750571403,206.77801451964575,206.77801451964575,0.035125679253195305,-22.714311034244997,-22.714311034244997,-22.714311034244933,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.17541700475633,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,1.1368683772159018e-12,0.0,0.0,0.0,3652.628445257143,0,0.0,False,1,0.0,,22,3.3766273726984126,OnTrack,interpolation
7,0 days 00:56:10.587000,0 days 00:00:01.600000,2025-07-06 14:03:51.200,COL,1.0,-357.00000000000057,2679.000000000004,1986.0000000000023,143.00540058978908,143.00540058978908,153.75703884199902,153.75703884199902,124.59969444567997,167.06755750571426,206.77801451964604,206.77801451964604,0.035125679253195354,-22.71431103424463,-22.71431103424463,-22.71431103424494,-6.642,6.581,6.642,13.223,13.223,0.0,129.9818321548811,163.17541700475655,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,-4.973799150325225e-13,0.0,0.0,0.0,3566.744423822222,0,0.0,False,1,0.0,,30,4.961944959999999,OnTrack,interpolation
8,0 days 00:56:10.787000,0 days 00:00:01.800000,2025-07-06 14:03:51.400,COL,1.0,-356.99999999999955,2678.9999999999973,1985.9999999999986,143.0054005897892,143.0054005897892,153.75703884199834,153.75703884199834,124.59969444567969,167.06755750571386,206.77801451964555,206.77801451964555,0.03512567925319527,-22.71431103424512,-22.71431103424512,-22.714311034244933,-6.642,6.581,6.642,13.223,13.223,0.0,129.9818321548808,163.17541700475616,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,-5.684341886079509e-13,0.0,0.0,0.0,3512.3500032,0,0.0,False,1,0.0,,30,6.610556159999999,OnTrack,interpolation
9,0 days 00:56:10.987000,0 days 00:00:02,2025-07-06 14:03:51.600,COL,1.0,-357.00000000000017,2679.000000000001,1986.0000000000002,143.00540058978913,143.00540058978913,153.75703884199868,153.75703884199868,124.59969444567983,167.06755750571406,206.7780145196458,206.7780145196458,0.03512567925319531,-22.714311034244876,-22.714311034244876,-22.714311034244933,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488095,163.17541700475635,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,7.105427357599386e-13,0.0,0.0,0.0,3520.4656264,0,0.0,False,1,0.0,,30,8.629722951111113,OnTrack,interpolation
