Time,PosX,PosY,PosZ
0.0,-1752.408343343255,1214.9521084982978,1963.1571968272904
0.094,-1713.8744412977185,1266.4025797760587,1963.5240092792365
0.189,-1664.0,1331.0,1964.0
0.414,-1509.8794929740357,1524.985844561446,1965.4842436450438
0.509,-1461.0,1586.0,1966.0
0.654,-1426.2490925627862,1629.3198732009007,1966.4838672624703
0.769,-1397.0,1668.0,1967.0
0.854,-1357.626143816182,1721.0714247509054,1967.6404549585066
1.014,-1252.9473650263465,1863.2848488602826,1969.2860564311532
1.089,-1207.0,1926.0,1970.0
1.214,-1140.2199413372057,2017.6073424597607,1971.0271126482912
1.374,-1068.122246556627,2117.198497153716,1972.1720246515963
1.469,-1024.0,2178.0,1973.0
1.573,-973.5082811631053,2247.387689906112,1974.0632025124467
1.853,-838.14334782995,2432.6228339956424,1977.3173488885334
1.929,-810.0,2471.0,1978.0
2.133,-755.1681112307796,2545.537959289708,1979.2798504565533
2.248,-716.0,2600.0,1980.0
2.333,-676.8570829692779,2655.1098949502157,1980.6543795532384
2.368,-660.0,2679.0,1981.0
2.648,-532.0,2864.0,1985.0
2.693,-512.8929317359016,2892.194211553942,1985.4602254676124
2.869,-432.0,3013.0,1987.0
3.133,-256.86385154492604,3276.1018534933614,1991.5175298160414
3.169,-241.0,3300.0,1992.0
3.294,-212.63734153194474,3342.9471551202937,1993.1041899158015
3.408,-186.0,3381.0,1994.0
3.494,-143.99998658128186,3439.776781909308,1994.9893106905774
3.734,28.34779500136238,3678.580547700009,1998.4550476921124
3.788,55.0,3715.0,1999.0
3.934,94.48427828141985,3767.2818590404545,1999.8820447170326
4.049,126.0,3806.0,2001.0
4.249,231.0,3933.0,2005.0
4.589,432.0,4147.0,2010.0
4.668,480.0,4191.0,2011.0
4.889,619.0,4299.0,2012.0
5.174,907.3682463741785,4438.684775726049,2013.8247939304151
5.208,935.0,4450.0,2014.0
5.454,1056.2507878528208,4485.2975411923235,2014.6850521507472
5.548,1106.0,4492.0,2015.0
5.734,1248.5955877219349,4508.680591323112,2016.0262008470781
5.869,1359.0,4518.0,2017.0
6.054,1503.7365467612562,4520.432407489891,2018.785527703182
6.068,1518.0,4520.0,2019.0
6.269,1770.0,4505.0,2023.0
