Time,PosX,PosY,PosZ
0.0,-1731.3294391970744,1243.4887925046005,1963.1943257227697
0.261,-1640.0,1362.0,1964.0
0.266,-1637.9211154299971,1364.6484483331592,1964.0205569917869
0.467,-1546.1629855080944,1480.3048794634246,1964.943594086837
0.48,-1540.0,1488.0,1965.0
0.667,-1452.1577737667515,1597.1926351787595,1965.7980474705269
0.7,-1438.0,1615.0,1966.0
0.92,-1338.0,1746.0,1968.0
1.101,-1194.0,1943.0,1970.0
1.107,-1190.319758757421,1948.0487291077566,1970.0532678827751
1.387,-1120.5530176616007,2043.8257117563614,1971.5947826602091
1.44,-1103.0,2068.0,1972.0
1.707,-941.5362017439708,2290.347084786655,1975.1696941713121
1.78,-901.0,2346.0,1976.0
2.147,-776.3567856139227,2516.5394092517367,1978.9043548197646
2.161,-771.0,2524.0,1979.0
2.3,-711.0,2608.0,1980.0
2.427,-652.0837305316242,2690.493516549915,1981.277104593416
2.481,-623.0,2732.0,1982.0
2.667,-495.97763785667604,2918.308639456079,1985.4566714066732
2.821,-406.0,3052.0,1988.0
2.827,-403.50092334348903,3055.7181266060384,1988.0705947659603
3.027,-357.88426389430595,3123.917125505812,1989.352578998524
3.121,-334.0,3160.0,1990.0
3.187,-309.75609175813906,3196.6450351229614,1990.651816621832
3.381,-216.0,3337.0,1993.0
3.506,-156.47089103800607,3423.0407055989926,1994.1388455962797
3.601,-113.0,3485.0,1995.0
3.841,2.0,3645.0,1998.0
3.906,45.32849235770186,3701.885435441659,1999.126111366335
4.061,154.0,3841.0,2002.0
4.146,195.36435427254412,3892.7410934017416,2003.2797715651955
4.361,272.0,3981.0,2006.0
4.386,283.75555182973847,3993.7887274578834,2006.3500416753309
4.586,399.5417325321426,4115.26193261258,2009.3213698609954
4.641,432.0,4147.0,2010.0
4.741,492.0,4201.0,2011.0
4.906,637.2908226972557,4304.496783310302,2012.1716819672786
5.061,786.0,4393.0,2013.0
5.066,790.2867585589721,4395.279171128506,2013.0260376829794
5.426,1030.6964205744948,4478.35920475629,2014.733081742976
5.501,1077.0,4487.0,2015.0
5.626,1156.7388924380189,4499.512926609717,2015.357335239115
5.866,1322.8388576393083,4516.003109934512,2016.4085170401972
5.921,1365.0,4518.0,2017.0
6.061,1478.0,4520.0,2019.0
6.146,1546.236698528895,4519.1115343078145,2020.1108002138321
6.221,1606.0,4517.0,2021.0
6.346,1705.4668914723522,4510.684153059585,2022.366958395477
6.501,1829.0,4498.0,2024.0
6.666,1961.4024034740496,4479.1303505614105,2025.7353508548033
6.72,2005.0,4473.0,2026.0
6.866,2122.2226089223377,4458.259094167095,2025.9484508126711
6.88,2133.0,4457.0,2026.0
7.061,2277.0,4444.0,2028.0
7.227,2477.7952768504783,4440.577940287696,2030.1230514795932
7.3,2560.0,4441.0,2031.0
7.467,2691.3744048712633,4445.220376055441,2032.8381066468098
7.707,2814.724503706412,4467.763742815465,2035.3674737567505
7.76,2854.0,4478.0,2036.0
7.987,3059.4798101580664,4539.375983812695,2038.8575673819141
8.0,3070.0,4543.0,2039.0
8.187,3190.5185049955226,4592.748793995168,2040.6781127357617
8.3,3259.0,4629.0,2042.0
8.387,3318.126218563938,4663.142362674214,2043.4114369108393
8.481,3384.0,4704.0,2045.0
8.707,3531.987556088039,4809.733445680586,2047.6212981908598
8.761,3566.0,4837.0,2048.0
8.867,3631.742574710032,4893.027107127151,2048.467434748501
9.027,3726.2056295248503,4980.486643601227,2048.93247701076
9.041,3734.0,4988.0,2049.0
9.221,3837.0,5091.0,2050.0
9.267,3871.2669267684155,5125.5869577189205,2050.0801009765396
9.42,3996.0,5251.0,2050.0
9.507,4049.3745639138256,5303.808582969558,2050.2045081644596
9.667,4111.027819292764,5362.495790721824,2051.1295557700782
9.821,4170.0,5417.0,2052.0
9.987,4250.331410583301,5490.984671509466,2052.6609084066145
10.061,4287.0,5524.0,2053.0
10.26,4378.0,5603.0,2054.0
10.421,4445.0,5660.0,2054.0
10.426,4447.5754189771915,5662.136047900538,2054.0093683654663
10.641,4573.0,5764.0,2055.0
10.826,4608.122573685203,5791.546028650016,2055.0488906030623
10.921,4624.0,5802.0,2055.0
11.146,4702.796924252282,5851.177654850244,2055.0811521753712
11.181,4716.0,5858.0,2055.0
11.346,4774.58594029618,5880.691336625668,2054.177379835713
11.401,4794.0,5886.0,2054.0
11.641,4881.0,5900.0,2054.0
11.666,4889.960187467761,5900.5745188625915,2053.897118194168
11.821,4946.0,5900.0,2053.0
11.946,4995.628848899618,5893.366658758479,2053.1873877875523
12.121,5060.0,5879.0,2054.0
12.266,5094.696507039382,5867.412189284404,2053.902649543569
12.361,5119.0,5854.0,2054.0
12.666,5230.9904510565975,5770.373698414761,2056.69064177205
12.701,5241.0,5762.0,2057.0
13.106,5293.346221689515,5694.438416095778,2058.9580434994587
13.14,5298.0,5685.0,2059.0
13.38,5339.0,5594.0,2059.0
13.386,5339.909792041133,5591.5128219486905,2059.0050972591753
13.667,5369.481671990806,5475.732795984291,2059.7284684617466
13.76,5375.0,5446.0,2060.0
13.867,5379.200860723602,5419.999068102877,2060.269691125465
14.08,5384.0,5374.0,2061.0
14.147,5385.915905714559,5352.493417118122,2061.4223601862286
14.347,5392.572035858803,5274.890511399094,2062.9234465404593
14.36,5393.0,5270.0,2063.0
14.58,5401.0,5191.0,2064.0
14.627,5403.507846612555,5173.587597949297,2064.273765430511
14.741,5411.0,5131.0,2065.0
14.907,5425.104717703833,5073.403254688849,2065.7820567054705
15.001,5435.0,5043.0,2066.0
15.16,5455.0,4995.0,2066.0
15.307,5476.398627826506,4954.899693039925,2065.974066236784
15.44,5497.0,4922.0,2066.0
15.541,5513.0,4899.0,2066.0
15.667,5534.950403105808,4872.433108819391,2065.4668133610367
15.781,5556.0,4850.0,2065.0
15.907,5579.638576057645,4826.599900623715,2065.0874050731513
16.0,5597.0,4811.0,2065.0
16.107,5616.894211950561,4795.246841581895,2064.3177028678742
16.161,5629.0,4787.0,2064.0
16.347,5685.707438011922,4754.411396656336,2063.8476444596736
16.421,5706.0,4744.0,2064.0
16.627,5739.938674514105,4730.530350642435,2064.713301318224
16.82,5765.0,4730.0,2065.0
16.946,5789.314649284589,4731.732713195816,2064.6112934135217
17.121,5828.0,4739.0,2064.0
17.146,5833.320780494469,4740.760275803537,2063.9892806498174
17.281,5861.0,4753.0,2064.0
17.426,5888.811263422944,4769.8635993673815,2063.1787423575456
17.481,5900.0,4778.0,2063.0
17.741,5957.0,4827.0,2064.0
17.826,5971.208190857075,4840.732393171372,2064.1228739610856
18.026,6000.265113320531,4873.60874183425,2063.983984768602
18.041,6003.0,4877.0,2064.0
18.361,6072.0,4969.0,2065.0
18.466,6086.772532413517,4991.263359427161,2065.098323424941
18.661,6108.0,5029.0,2065.0
18.706,6114.335795269046,5040.808290973935,2064.990621466111
18.901,6146.0,5103.0,2065.0
18.986,6159.152219376161,5132.16479705138,2065.0012569129885
19.081,6173.0,5165.0,2065.0
19.306,6204.135663403155,5247.331427031296,2064.9996306293488
19.341,6210.0,5265.0,2065.0
19.506,6241.524724665657,5366.1562224221225,2065.0014982843586
19.54,6247.0,5384.0,2065.0
19.746,6266.308892091491,5447.204644176481,2064.9738035245928
19.881,6279.0,5505.0,2065.0
19.946,6287.819643380043,5549.58013919747,2065.037219807761
20.2,6326.0,5766.0,2065.0
20.267,6330.63914261906,5803.976808141509,2064.7779277885343
20.427,6332.999579953495,5867.507964410346,2064.075793340272
20.46,6333.0,5882.0,2064.0
20.707,6329.341699573686,6016.316080984201,2064.1070754347606
20.76,6327.0,6048.0,2064.0
20.947,6313.3309721597525,6162.36349267002,2063.0731332297505
20.981,6310.0,6183.0,2063.0
21.08,6299.0,6242.0,2063.0
21.301,6269.0,6365.0,2062.0
21.307,6268.010565678283,6368.3654556280835,2061.979148966275
21.547,6215.411706364202,6513.200085611421,2061.9553498573214
21.561,6211.0,6523.0,2062.0
21.747,6140.604913867935,6662.605547590821,2062.8943258317468
21.781,6129.0,6684.0,2063.0
21.987,6075.470477087328,6772.688368131943,2062.9852124540207
22.041,6060.0,6795.0,2063.0
22.147,6023.728501721524,6844.842050396461,2063.1890146274186
22.347,5938.935956340348,6952.9480328637965,2063.8770292918634
22.421,5907.0,6990.0,2064.0
22.507,5870.089245769175,7030.09650193729,2064.021592098997
22.581,5827.0,7072.0,2064.0
22.707,5710.747368408997,7175.444860978475,2063.99610426682
22.78,5650.0,7228.0,2064.0
22.987,5583.129554470351,7282.528986128438,2064.0011399457394
23.101,5550.0,7307.0,2064.0
23.32,5425.0,7403.0,2064.0
23.387,5386.804979677476,7432.246463347964,2064.0002499173324
23.501,5321.0,7483.0,2064.0
23.546,5291.719577758643,7506.020140697629,2063.999246990617
23.786,5115.27478644198,7648.006230016222,2063.994519830607
23.86,5070.0,7685.0,2064.0
24.066,4979.735192937192,7760.17414255975,2064.02993282649
24.16,4941.0,7793.0,2064.0
24.226,4911.197290454618,7818.33578567276,2063.950758337025
24.461,4770.0,7939.0,2064.0
24.546,4693.059102509334,8004.979224237601,2064.39466698907
24.681,4573.0,8108.0,2065.0
24.746,4536.065451704037,8139.6724452282215,2064.9856427327472
24.946,4480.183862241974,8187.537961990751,2064.1099431533844
24.981,4468.0,8198.0,2064.0
25.266,4311.533183854108,8332.474961301483,2063.9460524357623
25.341,4256.0,8380.0,2064.0
25.521,4113.0,8502.0,2064.0
25.546,4096.72235751292,8515.873910257333,2063.957683779925
25.786,3986.529427149956,8609.923072750144,2063.1087812214314
25.822,3969.0,8625.0,2063.0
26.14,3777.0,8792.0,2063.0
26.146,3773.302105734302,8795.266841731755,2063.029871595572
26.32,3669.0,8888.0,2064.0
26.386,3630.844469410742,8921.728609648626,2063.887131875219
26.54,3536.0,9005.0,2063.0
26.747,3375.1547455723494,9145.973689542161,2062.9908226136754
26.76,3366.0,9154.0,2063.0
26.987,3242.979512800957,9261.981812361286,2063.001148124571
27.147,3164.4884047851933,9330.903264203214,2062.9866038546775
27.181,3145.0,9348.0,2063.0
27.261,3096.0,9391.0,2063.0
27.427,2993.9847170594153,9480.977272944006,2062.074290486254
27.44,2986.0,9488.0,2062.0
27.667,2846.040581394551,9610.054300525784,2061.063611325079
27.68,2838.0,9617.0,2061.0
27.827,2746.9124105144338,9695.160692144038,2060.0892445955174
27.98,2652.0,9777.0,2059.0
28.14,2553.0,9864.0,2058.0
28.147,2548.6885541089314,9867.780710394127,2057.962933050495
28.307,2450.5746082806327,9953.483905082192,2057.114780376883
28.321,2442.0,9961.0,2057.0
28.547,2303.5670669015826,10083.383286537024,2054.1781063385547
28.561,2295.0,10091.0,2054.0
28.827,2132.5333353409796,10236.303747757142,2051.129960271939
28.841,2124.0,10244.0,2051.0
28.961,2051.0,10310.0,2050.0
29.107,1962.5835688942009,10389.333664117701,2049.1284320363543
29.121,1954.0,10397.0,2049.0
29.28,1856.0,10484.0,2047.0
29.307,1839.9296842002382,10498.099294378715,2046.7294074975387
29.58,1671.0,10637.0,2045.0
29.587,1665.5994484441885,10641.001250481302,2044.9259805647928
29.827,1462.3119154571411,10781.75065827699,2041.408985832136
29.86,1442.0,10795.0,2041.0
30.14,1350.0,10844.0,2039.0
30.186,1329.3699582994498,10853.430282872028,2038.7732607866144
30.321,1249.0,10887.0,2038.0
30.386,1200.8477258736846,10902.566788262973,2037.4008840148213
30.546,1065.9402544783748,10936.052779149115,2035.5083756992174
30.601,1024.0,10944.0,2035.0
30.746,930.4952456416884,10954.965717256311,2034.1846385444887
31.066,797.634190608759,10946.64548973864,2034.0422027978675
31.101,787.0,10946.0,2034.0
31.386,708.5091049107959,10938.282183198171,2033.24446245992
31.441,681.0,10930.0,2033.0
31.641,546.0,10879.0,2032.0
31.706,510.69853257936916,10862.60946752734,2031.826942526494
31.906,445.2767358186141,10819.100655850138,2031.8927287969955
32.061,411.0,10787.0,2032.0
32.306,361.41615561930655,10731.254652365164,2031.952135493276
32.341,354.0,10721.0,2032.0
32.506,316.6544854502345,10662.086483895808,2032.5316693632415
32.662,282.0,10599.0,2033.0
