Time,PosX,PosY,PosZ
0.0,-1751.4617198483393,1216.2954728729405,1962.7913225257475
0.052,-1732.0,1242.0,1963.0
0.257,-1640.4124897800684,1361.096119749718,1964.497273995047
0.372,-1586.0,1430.0,1965.0
0.472,-1540.0,1487.0,1965.0
0.657,-1457.4190810251303,1589.720789674599,1965.532294351401
0.732,-1420.0,1638.0,1966.0
0.857,-1348.8537771109186,1732.7206771081308,1967.0945049348506
1.032,-1245.0,1874.0,1969.0
1.217,-1153.4087784999197,1999.0055120965687,1971.0086104112052
1.432,-1068.0,2116.0,1973.0
1.457,-1059.2975566182881,2127.9461589233506,1973.181802013713
1.657,-995.9896933331714,2215.0543109426276,1974.3392535176583
1.751,-959.0,2266.0,1975.0
1.857,-907.3457679976452,2337.133422822968,1975.9528999339727
2.052,-803.0,2481.0,1978.0
2.137,-764.7903565480742,2533.8799476094086,1978.8408431871744
2.378,-672.8737995487178,2662.1055853327834,1981.1725040339902
2.451,-641.0,2707.0,1982.0
2.578,-579.3487375406498,2794.419346138735,1983.587087117795
2.612,-563.0,2818.0,1984.0
2.778,-487.8100104226935,2929.32573770272,1985.8546155104284
2.791,-482.0,2938.0,1986.0
2.978,-397.85138377851234,3063.719300905908,1988.1673293876813
3.051,-365.0,3113.0,1989.0
3.138,-325.97797990706385,3171.7555564873473,1989.9590855687288
3.231,-284.0,3235.0,1991.0
3.492,-165.0,3412.0,1994.0
3.498,-162.3911226848547,3415.7755678605863,1994.052301557231
3.712,-60.0,3559.0,1996.0
3.858,53.39509705106629,3712.343846017088,1999.2700630159268
3.891,78.0,3745.0,2000.0
4.218,241.10244853225032,3945.527667206701,2004.5764196665402
4.352,291.0,4002.0,2006.0
4.578,375.92594424210904,4096.501807592606,2008.5624156156316
4.711,456.0,4169.0,2010.0
4.858,585.7212884605996,4272.072451101127,2011.4212607322581
4.931,650.0,4319.0,2012.0
5.018,717.6050815341043,4364.006867756618,2012.5458622212705
5.178,816.7428189688785,4415.968442636012,2013.1458623396334
5.392,967.0,4460.0,2014.0
5.498,1064.345516782723,4479.315643554196,2014.640377538849
5.778,1338.8631063522012,4516.919782999091,2016.760671974368
5.811,1362.0,4519.0,2017.0
5.978,1444.930861322454,4521.496485733894,2018.1643823650732
6.071,1496.0,4520.0,2019.0
6.178,1576.9835181524127,4517.492967745713,2020.2606999462587
6.312,1696.0,4512.0,2022.0
6.458,1823.4630866329587,4501.241876947506,2023.6509906080432
6.698,2027.3199675930866,4473.173624470357,2025.812244756328
6.857,2155.5788302451665,4455.68930973682,2027.030267715268
6.992,2259.0,4445.0,2028.0
7.097,2335.960591506921,4439.324741372229,2028.713322306882
7.232,2451.0,4438.0,2030.0
7.297,2523.0029914421157,4441.032660273461,2030.9763365311533
7.497,2790.205236464274,4466.22940209871,2034.988940091426
7.552,2858.0,4478.0,2036.0
7.952,3205.0,4601.0,2041.0
7.977,3217.3031305883023,4606.8419637161915,2041.20226146947
8.232,3308.0,4657.0,2043.0
8.257,3319.4150923930906,4663.821866592371,2043.2267837698894
8.572,3544.0,4819.0,2047.0
8.577,3549.0893671078065,4823.226217983558,2047.0660931681016
8.731,3715.0,4969.0,2049.0
8.737,3720.5576662756894,4974.048217969099,2049.0595110911245
9.018,3861.547377635096,5114.472514763185,2050.114256407299
9.178,3919.698317978272,5176.328119548001,2050.0180772033723
9.231,3948.0,5204.0,2050.0
9.271,3972.0,5227.0,2050.0
9.338,4012.4438322087694,5266.006972560212,2050.1566288085196
9.491,4102.0,5353.0,2051.0
9.658,4192.254391713452,5438.583786350801,2051.8411547414735
9.692,4210.0,5455.0,2052.0
9.932,4330.0,5562.0,2053.0
9.978,4351.488620857807,5580.570960928178,2053.1551704626854
10.252,4476.0,5685.0,2054.0
10.418,4560.844279862868,5754.287036116585,2054.747585449665
10.492,4597.0,5782.0,2055.0
10.618,4652.385404379129,5820.3333096382885,2055.186632376043
10.818,4725.899157093741,5861.6101929727,2055.0377068757675
10.852,4737.0,5867.0,2055.0
11.018,4785.5238173268435,5886.848095462661,2054.7820532300525
11.292,4874.0,5900.0,2054.0
11.298,4876.618179900406,5900.090100860646,2053.9711654061575
11.491,4970.0,5898.0,2053.0
11.578,5007.512683402985,5893.063969227789,2052.867473395558
11.858,5099.814798663648,5863.375646691091,2053.7572646361664
11.912,5114.0,5857.0,2054.0
12.098,5154.836734533813,5834.6259777086,2054.9043075047293
12.331,5200.0,5800.0,2056.0
12.338,5201.492741919003,5798.728413308978,2056.0284229111103
12.498,5236.916527586271,5766.357638494588,2056.732385301144
12.532,5244.0,5759.0,2057.0
12.631,5263.0,5737.0,2058.0
12.778,5287.168770496711,5703.136685554238,2058.8150573743465
12.952,5311.0,5660.0,2059.0
13.171,5336.0,5600.0,2059.0
13.178,5336.699342809172,5598.083796556603,2058.997004670311
13.332,5351.0,5554.0,2059.0
13.458,5362.912718905841,5506.517838778755,2059.462041427024
13.572,5372.0,5464.0,2060.0
13.657,5376.528153488428,5438.58127167285,2060.309749697635
13.892,5383.0,5380.0,2061.0
13.977,5385.604341470156,5352.95112498946,2061.338723736864
14.112,5390.0,5305.0,2062.0
14.272,5395.0,5247.0,2063.0
14.337,5397.292248249942,5223.794525274477,2063.4867703180676
14.573,5409.0,5141.0,2065.0
14.732,5422.0,5086.0,2065.0
14.817,5429.02088167054,5060.0366773902515,2065.3690391115288
14.931,5442.0,5024.0,2066.0
15.137,5486.107843491433,4940.097799658605,2066.016954142509
15.191,5496.0,4923.0,2066.0
15.337,5512.563603627339,4896.789199465329,2066.153205273144
15.498,5526.210898904223,4882.169530775862,2066.13536035134
15.531,5531.0,4877.0,2066.0
15.692,5562.0,4844.0,2065.0
15.738,5571.01442882829,4835.208567692561,2064.891101075988
15.871,5596.0,4813.0,2065.0
15.938,5608.270135932062,4802.798358600372,2065.04939518166
16.071,5633.0,4784.0,2065.0
16.178,5654.666731035495,4769.810857098876,2064.699071646861
16.371,5696.0,4748.0,2064.0
16.418,5705.952551465207,4743.923230771289,2063.9277029668524
16.671,5759.0,4731.0,2064.0
16.818,5790.009256588896,4731.189445006837,2064.0026696765067
16.852,5797.0,4732.0,2064.0
16.931,5813.0,4735.0,2064.0
17.112,5851.0,4748.0,2064.0
17.258,5878.467412296708,4762.0256225557305,2063.410059595218
17.392,5907.0,4783.0,2063.0
17.458,5924.366997828602,4798.050009346173,2063.0683125622636
17.618,5971.037559619715,4842.455347604022,2063.782328874692
17.692,5986.0,4857.0,2064.0
17.858,5999.151453914728,4870.138522811915,2063.9949578321007
17.972,6010.0,4885.0,2064.0
18.058,6026.518591716498,4908.041233705643,2064.1718243303726
