Time,PosX,PosY,PosZ
0.0,-1725.6390195317936,1249.475254398561,1963.589808074671
0.093,-1675.0,1316.0,1964.0
0.378,-1532.116664929012,1496.73108170537,1965.5320299834116
0.492,-1484.0,1557.0,1966.0
0.778,-1388.6347061013403,1678.8375014056396,1966.6375371274569
0.853,-1365.0,1710.0,1967.0
0.938,-1337.6553661897697,1746.5850165101065,1967.5958741601821
1.098,-1270.197016211138,1838.7047281391629,1969.2586686301736
1.153,-1230.0,1894.0,1970.0
1.293,-1103.0,2069.0,1972.0
1.613,-1021.0,2181.0,1973.0
1.873,-838.0,2433.0,1977.0
2.018,-774.5006138311247,2520.1080263949916,1978.3890411863476
2.293,-708.0,2612.0,1980.0
2.298,-706.1459673243791,2614.6055486670602,1980.0495580397833
2.532,-598.0,2768.0,1983.0
2.578,-576.454791575413,2799.0201177097374,1983.5751879905638
2.792,-480.0,2940.0,1986.0
2.978,-396.37733552505256,3064.3632470067173,1987.847416116327
2.993,-390.0,3074.0,1988.0
3.232,-283.0,3237.0,1991.0
3.379,-177.82086920350005,3391.953244582818,1994.113882118316
3.432,-145.0,3440.0,1995.0
3.579,-89.85937592567254,3520.3619377873556,1996.0164372870734
3.779,-28.485392744668644,3603.0968693767077,1996.8117399317348
3.792,-21.0,3613.0,1997.0
3.979,124.69996584901213,3803.780960541465,2001.234363514562
4.012,150.0,3836.0,2002.0
4.219,277.2228958806231,3988.3651926533425,2005.906581326571
4.492,391.0,4108.0,2009.0
4.539,408.54044540401617,4126.400010507493,2009.3398652110695
4.779,507.28477950304364,4219.629961303887,2010.4917412417294
4.852,562.0,4258.0,2011.0
5.059,770.6072143852471,4385.122671667996,2012.9069345106834
5.072,781.0,4391.0,2013.0
5.352,917.0,4445.0,2014.0
5.419,965.180977175396,4455.894628171511,2014.235464214178
5.578,1123.5872733856656,4488.329908329257,2014.9504254717715
5.733,1269.0,4513.0,2016.0
5.738,1273.0195148683729,4513.560785288637,2016.040726755146
5.978,1423.0019024786634,4523.728165659637,2018.4738537178646
6.113,1531.0,4520.0,2020.0
6.258,1690.3041553033736,4511.396375189274,2021.6213367391415
6.293,1725.0,4509.0,2022.0
6.578,1911.3098718261444,4486.570818370315,2024.7399444234
6.613,1936.0,4483.0,2025.0
6.772,2066.0,4465.0,2026.0
6.778,2070.9249271018543,4464.360618443567,2026.0386342036052
7.018,2257.2186504236083,4443.909085293528,2027.8114933198042
7.153,2376.0,4439.0,2029.0
7.338,2560.9522884325147,4440.689779381112,2030.8417946565792
7.353,2574.0,4441.0,2031.0
7.673,2799.0,4466.0,2035.0
7.738,2867.4680166737003,4484.143070905374,2036.141605903692
7.953,3112.0,4560.0,2040.0
8.178,3206.5758637733484,4600.551617617133,2041.6882982020927
8.233,3230.0,4614.0,2042.0
8.458,3383.3396742026166,4704.436788715297,2043.5831963153712
8.593,3481.0,4771.0,2046.0
8.633,3507.0,4791.0,2047.0
8.738,3574.7325773955677,4845.10344715773,2048.5100304469643
8.873,3658.0,4916.0,2049.0
8.938,3694.7310846979844,4949.561696353542,2049.2523705335907
9.172,3834.0,5088.0,2050.0
9.178,3838.616865422049,5092.653594164096,2050.0052123365404
9.338,3977.153987690788,5232.215569301539,2049.958501873837
9.372,4004.0,5259.0,2050.0
9.498,4085.4269040877753,5338.886196006824,2050.464891347572
9.752,4192.0,5438.0,2052.0
9.818,4216.824881991397,5460.584113417155,2052.22950671533
10.152,4339.0,5569.0,2053.0
10.259,4383.110930271976,5607.2613949599745,2053.6722376940447
10.312,4405.0,5626.0,2054.0
10.419,4447.918981546452,5662.0829892368065,2054.5232064120373
10.633,4527.0,5727.0,2055.0
10.659,4535.766101671221,5734.195899801751,2055.0042691283124
10.693,4548.0,5744.0,2055.0
10.859,4640.493832839075,5810.1117991674,2054.9792529290125
10.973,4699.0,5849.0,2055.0
11.139,4737.010948845704,5869.848644330884,2055.1155504513144
11.273,4761.0,5876.0,2055.0
11.339,4779.942679229185,5881.063492360433,2054.7972534080423
11.513,4844.0,5896.0,2054.0
11.659,4897.055185650641,5900.82967965553,2053.425565347345
11.813,4949.0,5900.0,2053.0
11.819,4950.898441659806,5899.899402281028,2052.988336743439
12.019,5013.625714678647,5891.571687888152,2052.902475244534
12.053,5027.0,5888.0,2053.0
12.219,5103.553557786223,5861.2534393700225,2053.9253767325667
12.232,5109.0,5859.0,2054.0
12.458,5175.852627710005,5821.713249370577,2055.0163324336545
12.673,5213.0,5789.0,2056.0
12.698,5216.997267389437,5785.3372188521125,2056.1462142529754
13.032,5267.0,5732.0,2058.0
13.178,5289.888505106075,5698.36766581025,2057.9794414562602
13.193,5292.0,5695.0,2058.0
13.338,5309.06650676441,5664.866363745237,2058.6312003537355
13.433,5321.0,5637.0,2059.0
13.578,5344.153180343876,5572.393924905162,2059.012462985807
13.633,5352.0,5548.0,2059.0
13.938,5373.170577845505,5453.05159967076,2059.610625235336
14.073,5377.0,5425.0,2060.0
14.178,5379.374020116054,5407.018930940652,2060.287045532794
14.412,5384.0,5365.0,2061.0
14.418,5384.141523638147,5363.491012438628,2061.0230853382736
14.618,5389.556059223712,5301.997337771523,2061.9252698918554
14.633,5390.0,5297.0,2062.0
14.833,5396.0,5232.0,2063.0
14.898,5397.667344422665,5215.117405770194,2063.2574600234743
15.058,5402.282492491032,5178.783990215194,2063.8286249924136
15.093,5404.0,5169.0,2064.0
15.254,5415.0,5116.0,2065.0
15.433,5430.0,5060.0,2066.0
15.458,5433.019044344942,5051.4528866782475,2066.0735164771177
15.658,5465.541147712936,4976.372541699356,2066.043340147405
15.732,5477.0,4953.0,2066.0
16.058,5517.105732127151,4891.281029387761,2066.1355961444415
16.132,5531.0,4876.0,2066.0
16.258,5561.9859559324805,4844.055605121112,2065.517997132326
16.373,5591.0,4816.0,2065.0
16.499,5616.219851532269,4794.131055034974,2064.5462797248565
16.752,5660.0,4766.0,2064.0
16.913,5697.0,4747.0,2064.0
16.939,5703.0851953052315,4744.435816635899,2064.0709109345908
17.139,5749.3654051298745,4731.386746552381,2065.0272162863257
17.193,5762.0,4730.0,2065.0
17.372,5804.0,4732.0,2064.0
17.379,5805.581110837194,4732.279689571189,2063.9793035166176
17.572,5849.0,4747.0,2064.0
17.699,5883.1769759777635,4766.5821838031425,2063.342483318503
17.773,5903.0,4780.0,2063.0
17.899,5933.566190892342,4804.1452373556,2062.9417375330877
18.099,5973.802182573599,4843.784282932795,2063.7857038677853
18.192,5989.0,4860.0,2064.0
18.539,6031.351579827401,4911.617089483504,2063.8260943046707
18.593,6039.0,4922.0,2064.0
18.772,6068.0,4963.0,2065.0
19.053,6110.0,5033.0,2065.0
19.113,6119.0,5050.0,2065.0
19.473,6178.0,5178.0,2065.0
19.578,6189.917366125233,5207.751896622192,2064.9994829920793
19.738,6205.342324792307,5251.138701387909,2064.999967425649
19.753,6207.0,5256.0,2065.0
19.978,6235.589478188807,5344.118706438772,2065.00006862565
20.013,6240.0,5359.0,2065.0
20.178,6259.461528048779,5430.709520232708,2064.9995241603388
20.253,6268.0,5464.0,2065.0
20.418,6286.424197907628,5538.956158219018,2065.0007612253016
20.433,6288.0,5546.0,2065.0
20.513,6296.0,5584.0,2065.0
20.713,6313.0,5680.0,2065.0
20.738,6315.041661957698,5694.328755294174,2064.9285901468247
20.932,6329.0,5819.0,2064.0
21.138,6332.125904968564,5932.194786445601,2063.869044963509
