Time,PosX,PosY,PosZ
0.0,-1748.5885235317855,1218.9185395128834,1963.3377208152942
0.148,-1672.0767798961838,1320.3765161037588,1963.8897494310086
0.182,-1657.0,1340.0,1964.0
0.469,-1552.5361263502734,1470.816281226127,1964.8514935567182
0.502,-1538.0,1489.0,1965.0
0.709,-1424.7485404680929,1632.4482590089528,1966.2959770213079
0.802,-1372.0,1701.0,1967.0
0.949,-1294.6905127767977,1804.6176414620438,1968.2004203351412
1.183,-1191.0,1948.0,1970.0
1.189,-1188.743944758959,1951.1154109508066,1970.036961567062
1.469,-1094.8968356818505,2080.023877883588,1971.6608943202493
1.503,-1081.0,2099.0,1972.0
1.662,-1007.0,2200.0,1974.0
1.789,-952.451681448962,2275.0905952326957,1975.2588768920734
1.962,-868.0,2392.0,1977.0
2.069,-794.1722658992057,2493.9697178183906,1978.6552731069785
2.222,-690.0,2638.0,1981.0
2.268,-668.2097765012916,2668.2906358071878,1981.4566795873916
2.508,-605.9439489632379,2756.9101336257863,1982.5753974913819
2.563,-588.0,2783.0,1983.0
2.788,-485.13029160105805,2933.454048784042,1985.8009499447123
2.803,-478.0,2944.0,1986.0
2.963,-405.0,3053.0,1988.0
2.988,-394.0709674009966,3069.400847218576,1988.276533055836
3.143,-323.0,3176.0,1990.0
3.388,-165.8625989146077,3409.05632850045,1994.2905261626065
3.443,-138.0,3450.0,1995.0
3.588,-91.70501736087711,3516.963605385823,1995.9293174846987
3.743,-41.0,3585.0,1997.0
3.868,36.71028896972862,3687.0514599062844,1999.1937838988724
4.083,194.0,3890.0,2004.0
4.228,261.201221240794,3972.0122285650477,2006.1519454723766
4.428,325.59775287061166,4040.517616915389,2008.1329563221618
4.503,361.0,4077.0,2009.0
4.583,408.0,4124.0,2010.0
4.788,600.5774110771625,4277.62122571916,2012.0725512026204
4.923,717.0,4359.0,2013.0
5.028,773.9048021290216,4393.0122383377375,2013.483480332257
5.228,842.6774278546025,4417.699117924649,2013.9746614656174
5.242,849.0,4420.0,2014.0
5.428,957.7164041584805,4461.102083650327,2014.2596203764192
5.563,1098.0,4491.0,2015.0
5.743,1358.0,4518.0,2017.0
5.748,1363.5570664440322,4518.508794001078,2017.0463727947242
5.948,1462.0471385329922,4527.621051381821,2018.04449054203
6.143,1571.0,4518.0,2020.0
6.322,1831.0,4498.0,2024.0
6.348,1859.7013974191975,4495.4427346554,2024.429695171737
6.628,1977.1288811740048,4476.435530816767,2025.7343395880305
6.702,2027.0,4470.0,2026.0
6.868,2220.9071863933073,4450.751384118575,2027.1385241695916
6.982,2353.0,4440.0,2028.0
7.029,2395.309078037918,4437.278428961817,2028.3107957593315
7.382,2584.0,4442.0,2031.0
7.389,2588.713573051899,4442.315746922991,2031.0993426032178
7.562,2730.0,4455.0,2034.0
7.669,2836.576538623725,4473.955058707013,2035.5708382086634
7.703,2869.0,4481.0,2036.0
7.902,3030.0,4528.0,2038.0
7.909,3035.373278194814,4529.916790512175,2038.0714169704029
8.189,3247.754345990472,4623.026948757434,2041.4941783609918
8.222,3272.0,4636.0,2042.0
8.343,3359.0,4687.0,2044.0
8.349,3363.227975369872,4689.660794178678,2044.097310107384
8.563,3509.0,4792.0,2047.0
8.629,3552.412419327803,4826.055151251585,2047.4574914114037
8.782,3650.0,4909.0,2048.0
8.948,3750.0103289155613,5004.203244122437,2048.8157361416384
8.982,3770.0,5024.0,2049.0
9.108,3843.1057794576627,5097.7050544476815,2049.7004379092978
9.163,3875.0,5130.0,2050.0
9.403,4015.0,5270.0,2051.0
9.428,4029.372026450846,5284.080710785252,2051.0236035360485
9.602,4127.0,5378.0,2051.0
9.628,4141.023814925931,5391.248199894053,2051.067508775549
9.783,4222.0,5466.0,2052.0
9.883,4273.0,5511.0,2053.0
10.108,4379.373658113166,5605.535033317983,2054.700574020247
10.268,4447.5289959989595,5667.28222307539,2055.3146890702374
10.468,4527.242593170013,5737.332973602732,2055.4827310770083
10.708,4628.109638749088,5807.972993906085,2055.193973138766
10.783,4661.0,5827.0,2055.0
11.028,4770.260121639768,5877.946542232184,2054.1300942747325
11.103,4799.0,5888.0,2054.0
11.268,4849.59570954243,5899.021146176299,2054.13103689918
11.423,4895.0,5901.0,2054.0
11.468,4910.138251420516,5900.999539947063,2053.7830315494425
11.603,4958.0,5899.0,2053.0
11.668,4979.661141318187,5896.545005517909,2052.8855839839266
11.783,5016.0,5890.0,2053.0
12.143,5122.0,5853.0,2054.0
12.323,5168.0,5824.0,2055.0
12.523,5215.0,5787.0,2056.0
12.668,5269.1851443211835,5727.502419534125,2057.832210948291
12.683,5274.0,5722.0,2058.0
13.068,5313.451511013811,5661.202947736608,2059.0477366959212
13.142,5320.0,5642.0,2059.0
13.382,5354.0,5544.0,2059.0
13.388,5354.74056374856,5541.522695048094,2059.011002392389
13.589,5372.09252306672,5465.940409565916,2059.786729809042
13.789,5379.981477520561,5406.220626340542,2060.855355425448
13.822,5381.0,5398.0,2061.0
13.949,5384.1819546353345,5370.681884352256,2061.4719095283517
