Time,PosX,PosY,PosZ
0.0,-1766.7960594539018,1196.0180969762323,1963.1822091898755
0.165,-1694.6503616179773,1291.297680356867,1963.9158741882397
0.18,-1688.0,1300.0,1964.0
0.34,-1616.0,1393.0,1965.0
0.445,-1567.389406673413,1453.5470953722531,1965.547589592528
0.62,-1485.0,1555.0,1966.0
0.759,-1420.0,1638.0,1966.0
0.805,-1398.805219591399,1665.6829793431311,1966.2747693041258
1.005,-1307.9481113141198,1787.352409064863,1968.7411952096018
1.059,-1283.0,1821.0,1969.0
1.139,-1246.0,1871.0,1969.0
1.359,-1146.0,2009.0,1971.0
1.405,-1116.8997715675541,2049.162191291389,1971.6381751053937
1.605,-970.0862927337399,2251.16938275462,1974.6156573016444
1.639,-952.0,2276.0,1975.0
1.805,-905.60505015827,2339.3889032834695,1976.1678769268449
1.939,-877.0,2379.0,1977.0
2.085,-819.21294840003,2460.116467753225,1978.429486232855
2.3,-708.0,2612.0,1980.0
2.32,-698.0,2625.0,1980.0
2.405,-653.4263882169482,2685.3689730291585,1980.4540595809694
2.645,-520.7617483529478,2880.087123302671,1984.491111464254
2.68,-504.0,2905.0,1985.0
2.965,-395.0694537519955,3067.4414095501866,1987.7194975907908
3.08,-349.0,3137.0,1989.0
3.205,-291.9655980150214,3223.5068497647526,1990.7919356770187
3.22,-285.0,3234.0,1991.0
3.365,-217.96250996718032,3333.7528953730684,1992.8153129331984
3.38,-211.0,3344.0,1993.0
3.64,-88.0,3521.0,1996.0
3.725,-46.227607108634174,3578.6061118966127,1996.530813569444
3.8,-9.0,3629.0,1997.0
3.925,53.16442310763834,3711.4742411064894,1998.2183020993577
4.125,152.93564063271276,3839.4929031129195,2001.3020338489673
4.445,319.3128959620724,4033.9326168691045,2007.518823548823
4.619,419.0,4134.0,2010.0
4.72,480.0,4190.0,2011.0
4.765,507.9615295979163,4213.984759798857,2011.1274052410274
4.899,594.0,4281.0,2011.0
5.099,730.0,4366.0,2013.0
5.125,748.5209415701307,4375.605962704394,2013.2040359321386
5.325,897.2690033715111,4438.319285551722,2013.9508202319425
5.339,908.0,4442.0,2014.0
5.526,1054.2549254817477,4482.408495202057,2014.833548849165
5.56,1081.0,4488.0,2015.0
5.739,1226.0,4509.0,2016.0
5.885,1367.2426439548012,4517.500940005384,2017.3708955212076
6.045,1526.4228120633584,4519.505433338515,2019.3225715397696
6.1,1571.0,4519.0,2020.0
6.285,1685.378586468629,4512.83174226317,2022.2450527091032
6.36,1734.0,4508.0,2023.0
6.565,1902.1537971155917,4487.686384422954,2024.40561714869
6.66,1980.0,4477.0,2025.0
6.765,2057.8300462667435,4465.2968488724055,2025.7399691450287
6.9,2176.0,4452.0,2027.0
6.925,2204.7775741055466,4449.993439489272,2027.298782507224
7.139,2474.0,4439.0,2030.0
7.205,2516.164727138288,4438.062421658083,2030.3671531898926
7.379,2574.0,4441.0,2031.0
7.565,2739.5886378174187,4455.456075990481,2033.9086421765312
7.619,2805.0,4468.0,2035.0
7.765,3012.1594709781157,4527.061357848238,2038.2110408693677
7.859,3129.0,4566.0,2040.0
7.925,3189.71543643461,4587.473077401883,2040.9627257296652
8.205,3300.674139330721,4645.933133625792,2043.0558890532548
8.3,3352.0,4683.0,2044.0
8.565,3570.825656748746,4843.135939056575,2047.6615502889722
8.6,3595.0,4862.0,2048.0
8.725,3660.165010977071,4917.065562300777,2048.691509790955
8.86,3719.0,4974.0,2049.0
9.045,3825.9577883669544,5081.544218490931,2049.5387054029793
9.16,3897.0,5153.0,2050.0
9.4,4038.0,5292.0,2051.0
9.405,4040.851340969155,5294.7765261007435,2051.002592964509
9.46,4072.0,5325.0,2051.0
9.725,4215.804409510728,5460.342180985875,2052.490598723306
9.8,4254.0,5495.0,2053.0
9.925,4314.872524203024,5548.904782193646,2053.7104792638074
10.02,4359.0,5587.0,2054.0
10.125,4405.7813791751,5626.502473548324,2053.961326166283
10.22,4446.0,5660.0,2054.0
10.42,4525.0,5725.0,2055.0
10.565,4583.183732668267,5771.079184104797,2055.03959003597
10.64,4612.0,5793.0,2055.0
10.72,4641.0,5814.0,2055.0
10.805,4671.012847837062,5833.186692827605,2054.772151010896
10.981,4731.0,5864.0,2054.0
11.005,4738.929706034224,5867.519825922208,2053.958477506506
11.205,4807.246715796267,5890.373406337679,2054.040989208456
11.24,4822.0,5893.0,2054.0
11.5,4950.0,5900.0,2053.0
11.525,4960.055768697697,5899.7452341903045,2052.9198400166506
11.899,5054.0,5881.0,2053.0
11.965,5069.577700978367,5875.773361644033,2053.3616700530624
12.179,5128.0,5849.0,2055.0
12.286,5164.884312592672,5823.166755006679,2055.7533682690423
12.519,5243.0,5759.0,2057.0
12.605,5259.541644095455,5745.226919702523,2057.246956299794
12.94,5294.0,5693.0,2058.0
13.005,5308.088887150676,5664.56328448759,2058.416441535459
13.099,5329.0,5621.0,2059.0
13.445,5354.146476928976,5545.662915433064,2058.9778782094395
13.46,5355.0,5542.0,2059.0
13.605,5365.381293899506,5498.199726914,2059.5084929833815
13.7,5372.0,5466.0,2060.0
13.845,5379.291393659566,5416.886221886646,2060.8103071083597
13.919,5382.0,5392.0,2061.0
14.02,5385.0,5358.0,2061.0
14.045,5385.779593313671,5349.300104075768,2061.085105368477
14.245,5392.5618772188,5277.157676796902,2062.89010005413
14.26,5393.0,5272.0,2063.0
14.485,5400.080036761707,5195.96695104559,2063.9209793864015
14.5,5401.0,5190.0,2064.0
14.78,5428.0,5065.0,2066.0
14.805,5430.231273844373,5056.398668439269,2066.093463389023
